"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","disease_prevalence_class","disease_prevalence_geo_area","disease_prevalence_type","disease_inheritance","numCTsupportingAssociation","numPMIDs","chemsIncludedInEvidenceBySource","numChemsIncludedInEvidences","numPMIDSWithChemsIncludedInEvidences","numNCTSWithChemsIncludedInEvidences","score","yearInitial","yearFinal","evidence_level","evidence_index","diseaseid"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","ARTERIAL TORTUOSITY SYNDROME","[disease]","C1859726","Musculoskeletal Diseases (C05) | Cardiovascular Diseases (C14) | Skin and Connective Tissue Diseases (C17) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1859726"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","Lymphedema distichiasis syndrome","[disease]","C0265345","Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","genetic disease (630) | syndrome (225)","","","","","Autosomal dominant",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0265345"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Wolff-Parkinson-White Syndrome","[disease]","C0043202","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0043202"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Optic Atrophy","[disease]","C0029124","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0029124"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Optic Disk Drusen","[disease]","C0029128","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0029128"
"IQSEC1",9922,"ENSG00000144711","protein-coding",0.619,0.783,0.99606,"Q6DN90","","","Developmental Disabilities","[disease]","C0008073","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0008073"
"PRDM15",63977,"ENSG00000141956","protein-coding",0.691,0.609,1.2573e-06,"P57071","DTO_05007542","Transcription factor","Pervasive Development Disorder","[disease]","C0524528","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0524528"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Proximal muscle weakness","[phenotype]","C0221629","Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10) | Musculoskeletal Diseases (C05)","Finding (T033)","","Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0221629"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Congenital contractural arachnodactyly","[disease]","C0220668","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Musculoskeletal Diseases (C05)","Congenital Abnormality (T019)","physical disorder (0080015) | genetic disease (630) | disease of anatomical entity (7)","","","","","Autosomal dominant",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0220668"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Ventricular Fibrillation, Paroxysmal Familial, 1","[disease]","C2751898","Cardiovascular Diseases (C14) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C2751898"
"SPIDR",23514,"ENSG00000164808","protein-coding",0.646,0.783,9.7061e-20,"Q14159","","","Rare genetic premature ovarian failure","[disease]","C5925042","","Disease or Syndrome (T047)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C5925042"
"SH2B1",25970,"ENSG00000178188","protein-coding",0.534,0.87,0.99999,"Q9NRF2","","","CHROMOSOME 16p11.2 DELETION SYNDROME, 220-KB","[disease]","C3150701","","Disease or Syndrome (T047)","genetic disease (630)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C3150701"
"CLIC6",54102,"ENSG00000159212","protein-coding",0.721,0.478,7.6453e-14,"Q96NY7","DTO_01300327","Ion channel","Myoepithelioma","[disease]","C0027070","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0027070"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Esophageal Atresia","[disease]","C0014850","Digestive System Diseases (C06) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Congenital Abnormality (T019)","disease of anatomical entity (7)","Abnormality of the digestive system (25031)","1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000","Europe,Europe,Austria,Belgium,Croatia,Denmark,France,Germany,Hungary,Ireland,Italy,Malta,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,United Kingdom,Ukraine,United States","Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth","Not applicable",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0014850"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Meniere Disease","[disease]","C0025281","Otorhinolaryngologic Diseases (C09)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0025281"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","Abnormality of the musculature","[disease]","C4021745","","Anatomical Abnormality (T190)","","Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C4021745"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Increased number of skin folds","[phenotype]","C4024853","","Finding (T033)","","Abnormality of the integument (01574)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C4024853"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Retinal pigment epithelial atrophy","[phenotype]","C1840457","","Finding (T033)","","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1840457"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Coronary Artery Disease, Autosomal Dominant 2","[disease]","C1970440","Cardiovascular Diseases (C14) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C1970440"
"SH2B1",25970,"ENSG00000178188","protein-coding",0.534,0.87,0.99999,"Q9NRF2","","","Distal 16p11.2 microdeletion syndrome","[disease]","C4518824","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630)","","","","","Not applicable",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C4518824"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","Desbuquois syndrome","[disease]","C0432242","Endocrine System Diseases (C19) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Pathological Conditions, Signs and Symptoms (C23) | Musculoskeletal Diseases (C05)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0432242"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Conduction disorder of the heart","[disease]","C0264886","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0264886"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Hepatoblastoma","[disease]","C0206624","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Neoplasm (02664) | Abnormality of the digestive system (25031)","<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000,<1 / 1 000 000","Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Germany,Ireland,Italy,Latvia,Lithuania,Malta,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Switzerland,Netherlands,United Kingdom","Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence","Not applicable",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0206624"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Dysmorphic facies","[phenotype]","C0424503","","Finding (T033)","","Abnormality of head or neck (00152)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0424503"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Congenital anomaly of face","[disease]","C0266617","Musculoskeletal Diseases (C05) | Urogenital Diseases (C12) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Congenital Abnormality (T019)","","Abnormality of head or neck (00152)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0266617"
"SH2B1",25970,"ENSG00000178188","protein-coding",0.534,0.87,0.99999,"Q9NRF2","","","Ovarian Failure, Premature","[disease]","C0085215","Urogenital Diseases (C12) | Endocrine System Diseases (C19)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0085215"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Pleural effusion (disorder)","[phenotype]","C0032227","Respiratory Tract Diseases (C08)","Pathologic Function (T046)","","Abnormality of metabolism/homeostasis (01939) | Abnormality of the respiratory system (02086)","","","","",0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"C0032227"
